Nodes;Edges;Sequential Time;MPI Time;
5;5;0.000108;0.000161;
6;7;0.000122;0.000189;
7;10;0.000127;0.000230;
8;14;0.000310;0.000128;
9;18;0.000413;0.000212;
10;22;0.000278;0.000129;
11;27;0.000251;0.000131;
12;33;0.000310;0.000141;
13;39;0.000319;0.000189;
14;45;0.000857;0.000239;
15;52;0.000207;0.000200;
16;60;0.000764;0.000232;
17;68;0.000338;0.000213;
18;76;0.000534;0.000202;
19;85;0.001054;0.000184;
20;95;0.000619;0.000223;
21;105;0.000692;0.000167;
22;115;0.000483;0.000291;
23;126;0.001115;0.000223;
24;138;0.000765;0.000255;
25;150;0.000436;0.000197;
26;162;0.001185;0.000258;
27;175;0.000401;0.000252;
28;189;0.001029;0.000269;
29;203;0.001628;0.000281;
30;217;0.002431;0.000232;
31;232;0.000970;0.000308;
32;248;0.000543;0.007216;
33;264;0.000921;0.000288;
34;280;0.000671;0.000294;
35;297;0.001543;0.000283;
36;315;0.001375;0.000310;
37;333;0.002289;0.000297;
38;351;0.001218;0.000336;
39;370;0.000881;0.000379;
40;390;0.002070;0.000423;
41;410;0.003246;0.000425;
42;430;0.001962;0.000399;
43;451;0.002428;0.000385;
44;473;0.002093;0.000387;
45;495;0.001845;0.000431;
46;517;0.002137;0.000498;
47;540;0.003876;0.000457;
48;564;0.001763;0.000628;
49;588;0.004638;0.000659;
50;612;0.003567;0.000451;
51;637;0.002744;0.000468;
52;663;0.003346;0.000515;
53;689;0.003081;0.000542;
54;715;0.003297;0.000588;
55;742;0.004103;0.000580;
56;770;0.003455;0.000575;
57;798;0.005046;0.000719;
58;826;0.004122;0.000736;
59;855;0.007173;0.000644;
60;885;0.003770;0.000605;
61;915;0.006876;0.000722;
62;945;0.007149;0.000743;
63;976;0.005176;0.000772;
64;1008;0.006359;0.000699;
65;1040;0.003803;0.000869;
66;1072;0.005843;0.001453;
67;1105;0.004528;0.001193;
68;1139;0.004777;0.001024;
69;1173;0.009878;0.000996;
70;1207;0.005194;0.001118;
71;1242;0.009914;0.001033;
72;1278;0.006502;0.000897;
73;1314;0.008200;0.000918;
74;1350;0.008059;0.001064;
75;1387;0.005861;0.002022;
76;1425;0.008720;0.001172;
77;1463;0.005544;0.001086;
78;1501;0.009395;0.001286;
79;1540;0.012446;0.001174;
80;1580;0.010133;0.001282;
81;1620;0.008938;0.001258;
82;1660;0.013484;0.001495;
83;1701;0.009950;0.001651;
84;1743;0.009063;0.001567;
85;1785;0.005678;0.001505;
86;1827;0.010560;0.002086;
87;1870;0.008050;0.001658;
88;1914;0.005277;0.001696;
89;1958;0.011790;0.002445;
90;2002;0.006265;0.001917;
91;2047;0.010413;0.001770;
92;2093;0.009181;0.002019;
93;2139;0.009291;0.002171;
94;2185;0.011352;0.001673;
95;2232;0.009748;0.002114;
96;2280;0.012089;0.002317;
97;2328;0.013070;0.002087;
98;2376;0.014538;0.002190;
99;2425;0.018145;0.002243;
100;2475;0.015270;0.002039;
101;2525;0.015140;0.002316;
102;2575;0.013137;0.002935;
103;2626;0.019918;0.003006;
104;2678;0.020734;0.002684;
105;2730;0.015112;0.002261;
