Nodes;Edges;Sequential Time;MPI Time;
500;62375;1.231826;0.832450;
504;63378;1.250755;0.869984;
508;64389;1.495729;0.899529;
512;65408;1.477428;0.923385;
516;66435;1.549069;0.949949;
520;67470;1.607384;0.974964;
524;68513;1.601019;1.002803;
528;69564;1.754542;1.038010;
532;70623;1.811800;1.054410;
536;71690;1.859555;1.074384;
540;72765;1.844988;1.105052;
544;73848;1.953291;1.137050;
548;74939;2.045692;1.144402;
552;76038;2.001172;1.191233;
556;77145;2.177574;1.223977;
560;78260;2.387007;1.243652;
564;79383;2.398992;1.275827;
568;80514;2.564794;1.297511;
572;81653;2.506001;1.327041;
576;82800;2.621434;1.377878;
580;83955;2.711570;1.396743;
584;85118;2.719141;1.424552;
588;86289;2.983890;1.465948;
592;87468;3.021560;1.498552;
596;88655;2.982670;1.531457;
600;89850;3.179593;1.554384;
604;91053;3.225159;1.583145;
608;92264;3.502031;1.632819;
612;93483;3.499832;1.655416;
616;94710;3.618349;1.699702;
620;95945;3.666517;1.743919;
624;97188;3.832414;1.783670;
628;98439;4.076772;1.790539;
632;99698;4.002875;1.821053;
636;100965;4.272365;1.886251;
640;102240;4.680131;1.909910;
644;103523;4.393151;1.940227;
648;104814;4.730935;1.989120;
652;106113;7.376191;2.066061;
656;107420;8.108917;2.112199;
660;108735;4.918525;2.124006;
664;110058;5.215533;2.185738;
668;111389;5.382020;2.208198;
672;112728;5.566422;2.245439;
676;114075;5.580109;2.305097;
680;115430;5.809317;2.346668;
684;116793;5.813594;2.403439;
688;118164;5.974922;2.438755;
692;119543;6.172335;2.472312;
696;120930;6.507268;2.563964;
700;122325;6.411712;2.580960;
704;123728;6.489011;2.642309;
708;125139;6.785484;2.676612;
712;126558;6.788088;2.791137;
716;127985;6.876335;2.832768;
720;129420;7.043326;2.875853;
724;130863;7.182737;2.913959;
728;132314;7.322921;2.965637;
732;133773;7.432103;2.989623;
736;135240;7.636887;3.087913;
740;136715;7.716284;3.132449;
744;138198;18.261633;3.193273;
748;139689;8.042579;3.213113;
752;141188;8.369985;3.336968;
756;142695;8.347988;3.326634;
760;144210;8.501747;3.408199;
764;145733;19.417146;3.506490;
768;147264;19.621775;3.541908;
772;148803;9.200414;3.603563;
776;150350;9.258116;3.629063;
780;151905;9.476587;3.706899;
784;153468;9.695498;3.764872;
788;155039;9.864998;3.794086;
792;156618;9.986731;3.928444;
796;158205;10.169717;3.942697;
800;159800;10.341798;4.000320;
804;161403;10.565975;4.124188;
808;163014;10.786242;4.132283;
812;164633;10.949956;4.207713;
816;166260;11.100127;4.273780;
820;167895;11.279419;4.335839;
824;169538;11.479893;4.449255;
828;171189;11.663359;4.530543;
832;172848;11.762955;4.591473;
836;174515;11.948313;4.618819;
840;176190;12.068564;4.692910;
844;177873;12.386347;4.777135;
848;179564;12.535955;4.910396;
852;181263;30.052292;4.918493;
856;182970;12.950321;4.980941;
860;184685;31.320406;5.111649;
864;186408;13.368843;5.188036;
868;188139;13.345501;5.198764;
872;189878;13.795398;5.307557;
876;191625;13.910696;5.374795;
880;193380;14.176713;5.451580;
884;195143;14.436450;5.566716;
888;196914;14.652272;5.641383;
892;198693;14.879213;5.730235;
896;200480;14.986899;5.806749;
900;202275;15.244004;5.937850;
904;204078;15.907582;5.987228;
908;205889;16.128044;6.158647;
912;207708;16.571731;6.201117;
916;209535;17.171066;6.662083;
920;211370;17.534390;6.786701;
924;213213;17.492870;6.707151;
928;215064;18.185221;6.910216;
932;216923;18.569756;6.875388;
936;218790;18.813220;6.734625;
940;220665;19.407977;6.826382;
944;222548;19.486931;7.736034;
948;224439;19.998887;7.361495;
952;226338;20.142745;7.853352;
956;228245;20.621689;8.040479;
960;230160;20.794018;8.123309;
964;232083;21.189000;8.184428;
968;234014;21.397517;8.555270;
972;235953;21.733268;9.052209;
976;237900;21.832252;8.992263;
980;239855;22.329746;9.013363;
984;241818;22.544262;8.984750;
988;243789;23.046144;8.977769;
992;245768;33.504320;9.539208;
996;247755;23.452729;8.346640;
1000;249750;23.875869;9.827339;
