Nodes;Edges;Sequential Time;MPI 2 procs;MPI 3 procs;MPI 4 procs;
100;2475;0.006427;0.002474;0.001983;0.002249;
101;2525;0.014003;0.002795;0.002688;0.002298;
102;2575;0.014430;0.002820;0.002178;0.002363;
103;2626;0.008448;0.004287;0.002232;0.002247;
104;2678;0.008007;0.002876;0.002196;0.002534;
105;2730;0.011120;0.002989;0.003102;0.002511;
106;2782;0.015991;0.003228;0.003109;0.002640;
107;2835;0.019084;0.003944;0.002440;0.002117;
108;2889;0.017982;0.004105;0.002434;0.002684;
109;2943;0.017442;0.003603;0.002669;0.002214;
110;2997;0.013887;0.003826;0.003499;0.002841;
111;3052;0.021248;0.003643;0.002846;0.002974;
112;3108;0.020997;0.011271;0.002796;0.002375;
113;3164;0.021199;0.003957;0.003818;0.003106;
114;3220;0.010510;0.004305;0.003997;0.003300;
115;3277;0.019465;0.004067;0.003075;0.003609;
116;3335;0.011138;0.004218;0.003034;0.003405;
117;3393;0.023162;0.004768;0.003656;0.003431;
118;3451;0.026519;0.004316;0.003204;0.003391;
119;3510;0.022396;0.004620;0.003447;0.003783;
120;3570;0.017138;0.004673;0.003623;0.003516;
121;3630;0.012103;0.004859;0.003759;0.003034;
122;3690;0.022959;0.005192;0.003698;0.004186;
123;3751;0.025739;0.004679;0.003664;0.003137;
124;3813;0.013361;0.005255;0.005235;0.004281;
125;3875;0.023755;0.005935;0.004098;0.004970;
126;3937;0.016677;0.005097;0.005368;0.004342;
127;4000;0.022610;0.006104;0.004031;0.004752;
128;4064;0.024984;0.005879;0.004264;0.004799;
129;4128;0.025500;0.006310;0.005800;0.004902;
130;4192;0.024148;0.005802;0.005909;0.003825;
131;4257;0.024790;0.005970;0.006054;0.003874;
132;4323;0.028089;0.017874;0.004769;0.005766;
133;4389;0.017803;0.006994;0.004755;0.003953;
134;4455;0.026936;0.007000;0.006603;0.005360;
135;4522;0.021002;0.007380;0.006832;0.004017;
136;4590;0.017511;0.007404;0.005889;0.005654;
137;4658;0.029856;0.007208;0.007037;0.006063;
138;4726;0.019604;0.007329;0.005239;0.006072;
139;4795;0.031623;0.007941;0.005719;0.006081;
140;4865;0.027965;0.007307;0.008388;0.006599;
141;4935;0.024046;0.008557;0.007558;0.006256;
142;5005;0.021628;0.008505;0.005866;0.006298;
143;5076;0.032139;0.008365;0.006010;0.006709;
144;5148;0.021873;0.010522;0.006337;0.006464;
145;5220;0.023257;0.010563;0.008368;0.005433;
146;5292;0.022675;0.009402;0.006334;0.009863;
147;5365;0.023371;0.009608;0.006946;0.007129;
148;5439;0.032639;0.010666;0.007041;0.008134;
149;5513;0.024647;0.010241;0.007112;0.006234;
150;5587;0.030724;0.010682;0.009195;0.006380;
151;5662;0.025086;0.010256;0.009547;0.006078;
152;5738;0.030610;0.010520;0.009631;0.007877;
153;5814;0.036067;0.011808;0.007569;0.008329;
154;5890;0.034831;0.012062;0.007693;0.007514;
155;5967;0.037896;0.012235;0.010211;0.008480;
156;6045;0.028456;0.011694;0.008054;0.008568;
157;6123;0.038594;0.012752;0.007987;0.009619;
158;6201;0.040682;0.011679;0.008605;0.008831;
159;6280;0.035055;0.013552;0.009057;0.007008;
160;6360;0.037158;0.012593;0.011422;0.008981;
161;6440;0.030415;0.013006;0.009119;0.009218;
162;6520;0.052911;0.012888;0.009378;0.009447;
163;6601;0.038505;0.013418;0.009637;0.007650;
164;6683;0.038552;0.016995;0.009884;0.009911;
165;6765;0.041529;0.015560;0.009732;0.010794;
166;6847;0.034695;0.015635;0.012625;0.011273;
167;6930;0.035962;0.014589;0.010499;0.011379;
168;7014;0.036389;0.016283;0.012908;0.008884;
169;7098;0.036409;0.015110;0.010989;0.010845;
170;7182;0.035780;0.017212;0.010784;0.009064;
171;7267;0.042151;0.016024;0.010930;0.009125;
172;7353;0.037569;0.016067;0.013988;0.011031;
173;7439;0.039390;0.018104;0.011302;0.011307;
174;7525;0.047391;0.020223;0.012122;0.009766;
175;7612;0.039759;0.019049;0.014884;0.011560;
176;7700;0.039945;0.016249;0.012323;0.009860;
177;7788;0.046851;0.019678;0.012471;0.010068;
178;7876;0.044062;0.020330;0.013530;0.012254;
179;7965;0.044951;0.020721;0.013366;0.012651;
180;8055;0.051950;0.018911;0.012989;0.014157;
181;8145;0.045275;0.021281;0.014572;0.010906;
182;8235;0.046412;0.021673;0.014049;0.013936;
183;8326;0.047445;0.022470;0.013607;0.013493;
184;8418;0.048022;0.022223;0.014356;0.014988;
185;8510;0.049997;0.023280;0.015973;0.013864;
186;8602;0.049506;0.023396;0.016264;0.015066;
187;8695;0.061874;0.022158;0.017855;0.014285;
188;8789;0.055616;0.022388;0.015300;0.014844;
189;8883;0.058626;0.026878;0.015375;0.012561;
190;8977;0.052198;0.025610;0.019115;0.015077;
191;9072;0.054668;0.023618;0.018871;0.015809;
192;9168;0.056832;0.025895;0.019212;0.013247;
193;9264;0.055750;0.027492;0.016630;0.013250;
194;9360;0.055845;0.025032;0.016746;0.015757;
195;9457;0.061187;0.027261;0.016995;0.015967;
196;9555;0.061992;0.025545;0.020160;0.016000;
197;9653;0.065358;0.028772;0.018826;0.023370;
198;9751;0.069172;0.027917;0.021360;0.014824;
199;9850;0.061395;0.029661;0.018200;0.017664;
200;9950;0.069172;0.029094;0.022004;0.014794;
