Nodes;Edges;Sequential Time;MPI Time;
1000;1000;0.302052;0.026493;
1010;1010;0.318753;0.023377;
1020;1020;0.304371;0.016772;
1030;1030;0.321065;0.016788;
1040;1040;0.317122;0.024101;
1050;1050;0.325654;0.036330;
1060;1060;0.327559;0.031503;
1070;1070;0.317401;0.031004;
1080;1080;0.331978;0.032105;
1090;1090;0.329754;0.031931;
1100;1100;0.332175;0.021516;
1110;1110;0.338927;0.036379;
1120;1120;0.334434;0.035991;
1130;1130;0.339283;0.021929;
1140;1140;0.362585;0.022268;
1150;1150;0.351461;0.033977;
1160;1160;0.388848;0.044034;
1170;1170;0.393954;0.033178;
1180;1180;0.399042;0.039790;
1190;1190;0.401144;0.047926;
1200;1200;0.401714;0.048402;
1210;1210;0.417972;0.051402;
1220;1220;0.413519;0.034396;
1230;1230;0.416791;0.048329;
1240;1240;0.420505;0.052197;
1250;1250;0.424253;0.044425;
1260;1260;0.429918;0.044388;
1270;1270;0.428792;0.037745;
1280;1280;0.434897;0.037564;
1290;1290;0.445384;0.037340;
1300;1300;0.449204;0.049917;
1310;1310;0.447455;0.052025;
1320;1320;0.459735;0.048429;
1330;1330;0.452600;0.040058;
1340;1340;0.464689;0.057084;
1350;1350;0.463631;0.051005;
1360;1360;0.462366;0.039454;
1370;1370;0.478731;0.040520;
1380;1380;0.479518;0.051350;
1390;1390;0.515445;0.057203;
1400;1400;0.483172;0.054502;
1410;1410;0.518726;0.056807;
1420;1420;0.528563;0.056842;
1430;1430;0.531715;0.053085;
1440;1440;0.538559;0.050364;
1450;1450;0.540745;0.052665;
1460;1460;0.548796;0.063086;
1470;1470;0.552390;0.046061;
1480;1480;0.567012;0.056561;
1490;1490;0.557720;0.062296;
1500;1500;0.567766;0.060609;
1510;1510;0.604084;0.061459;
1520;1520;0.574042;0.058524;
1530;1530;0.581631;0.066783;
1540;1540;0.596661;0.070532;
1550;1550;0.601210;0.052497;
1560;1560;0.603929;0.052779;
1570;1570;0.605116;0.062131;
1580;1580;0.629026;0.065098;
1590;1590;0.625148;0.068858;
1600;1600;0.636042;0.064847;
1610;1610;0.631291;0.074489;
1620;1620;0.639100;0.070953;
1630;1630;0.678401;0.078849;
1640;1640;0.651089;0.069255;
1650;1650;0.656283;0.068155;
1660;1660;0.651948;0.070470;
1670;1670;1.250444;0.123994;
1680;1680;1.550577;0.113614;
1690;1690;1.548444;0.100953;
1700;1700;1.561543;0.108435;
1710;1710;1.591252;0.102923;
1720;1720;1.610733;0.111766;
1730;1730;1.594532;0.113550;
1740;1740;1.607659;0.122007;
1750;1750;1.645023;0.128917;
1760;1760;1.665655;0.109165;
1770;1770;1.652319;0.135476;
1780;1780;1.667553;0.112188;
1790;1790;1.682744;0.127662;
1800;1800;1.696215;0.137945;
1810;1810;1.716524;0.132699;
1820;1820;1.730049;0.118914;
1830;1830;1.737789;0.128528;
1840;1840;1.745039;0.138575;
1850;1850;1.791229;0.131161;
1860;1860;1.830283;0.146854;
1870;1870;1.795477;0.132698;
1880;1880;1.812912;0.175909;
1890;1890;1.821679;0.126986;
1900;1900;1.858501;0.154410;
1910;1910;1.872143;0.144242;
1920;1920;1.857242;0.150270;
1930;1930;1.924280;0.146448;
1940;1940;1.916739;0.074199;
1950;1950;1.042691;0.080580;
1960;1960;1.054073;0.078351;
1970;1970;1.079320;0.070056;
1980;1980;1.072319;0.083286;
1990;1990;1.083697;0.068655;
2000;2000;1.087811;0.100393;
2010;2010;1.106166;0.088245;
2020;2020;1.107226;0.073500;
2030;2030;1.116188;0.093662;
2040;2040;1.162400;0.115378;
2050;2050;1.184341;0.123443;
2060;2060;1.189718;0.111084;
2070;2070;1.200577;0.122396;
2080;2080;1.240363;0.117904;
2090;2090;1.237137;0.121873;
2100;2100;1.245389;0.118719;
2110;2110;1.241880;0.120864;
2120;2120;1.261165;0.124034;
2130;2130;1.282430;0.120350;
2140;2140;1.284693;0.129918;
2150;2150;1.334099;0.134094;
2160;2160;1.305492;0.136588;
2170;2170;1.318874;0.131196;
2180;2180;1.330937;0.129583;
2190;2190;1.348066;0.127648;
2200;2200;1.351142;0.131717;
2210;2210;1.375406;0.121923;
2220;2220;1.378754;0.138911;
2230;2230;1.424501;0.131122;
2240;2240;1.398469;0.134970;
2250;2250;1.429341;0.136947;
2260;2260;1.441941;0.144428;
2270;2270;1.456815;0.140243;
2280;2280;1.460250;0.138503;
2290;2290;1.466207;0.140397;
2300;2300;1.478264;0.157726;
2310;2310;1.538426;0.132918;
2320;2320;1.494510;0.140595;
2330;2330;1.512405;0.138713;
2340;2340;2.675260;0.244271;
2350;2350;2.896271;0.222087;
2360;2360;2.896141;0.243333;
2370;2370;2.929001;0.245217;
2380;2380;2.928802;0.243254;
2390;2390;2.955991;0.238135;
2400;2400;3.005919;0.260036;
2410;2410;3.013496;0.255773;
2420;2420;3.028829;0.239470;
2430;2430;3.075786;0.256539;
2440;2440;3.273071;0.258081;
2450;2450;3.251578;0.271574;
2460;2460;3.309960;0.264512;
2470;2470;3.313125;0.258297;
2480;2480;3.319158;0.249911;
2490;2490;3.370709;0.284505;
2500;2500;3.398323;0.129211;
