Nodes;Edges;Sequential Time;MPI 2 procs;MPI 3 procs;MPI 4 procs;
1250;1250;0.425817;0.052395;0.036580;0.056024;
1251;1251;0.426139;0.051470;0.049249;0.035511;
1252;1252;0.426787;0.048739;0.036939;0.045759;
1253;1253;0.426316;0.045109;0.037467;0.043355;
1254;1254;0.434094;0.046993;0.036606;0.055598;
1255;1255;0.436441;0.057544;0.050713;0.045581;
1256;1256;0.424020;0.048503;0.045488;0.053490;
1257;1257;0.427053;0.048688;0.046186;0.052329;
1258;1258;0.441755;0.053271;0.037364;0.049986;
1259;1259;0.435242;0.055266;0.037602;0.046085;
1260;1260;0.425487;0.049502;0.051248;0.045410;
1261;1261;0.429449;0.061977;0.037586;0.058013;
1262;1262;0.433556;0.048583;0.041375;0.052268;
1263;1263;0.428801;0.046604;0.039650;0.050546;
1264;1264;0.429523;0.054492;0.036863;0.054240;
1265;1265;0.434823;0.058143;0.037217;0.043386;
1266;1266;0.439839;0.048459;0.037819;0.038019;
1267;1267;0.428439;0.059643;0.046435;0.047623;
1268;1268;0.438985;0.059704;0.039812;0.049663;
1269;1269;0.453818;0.055548;0.037553;0.054232;
1270;1270;0.434049;0.046528;0.037661;0.038002;
1271;1271;0.441096;0.049897;0.039067;0.039305;
1272;1272;0.427620;0.049618;0.037700;0.048976;
1273;1273;0.435689;0.067432;0.037732;0.049780;
1274;1274;0.438661;0.049538;0.048343;0.052143;
1275;1275;0.445486;0.053269;0.037818;0.043366;
1276;1276;0.437240;0.053681;0.039254;0.052340;
1277;1277;0.449775;0.053819;0.038674;0.039010;
1278;1278;0.440511;0.048013;0.037990;0.054229;
1279;1279;0.439739;0.048250;0.038908;0.046736;
1280;1280;0.434945;0.063075;0.039081;0.047525;
1281;1281;0.443065;0.057252;0.039025;0.051801;
1282;1282;0.443115;0.058320;0.040892;0.048716;
1283;1283;0.448884;0.050713;0.038192;0.038732;
1284;1284;0.449006;0.055592;0.040621;0.048002;
1285;1285;0.439327;0.056044;0.039213;0.053178;
1286;1286;0.446920;0.048419;0.040119;0.057666;
1287;1287;0.450525;0.051923;0.038837;0.039234;
1288;1288;0.441990;0.059827;0.039548;0.039135;
1289;1289;0.480734;0.052006;0.054055;0.048207;
1290;1290;0.447081;0.049517;0.039244;0.036085;
1291;1291;0.450388;0.050992;0.039701;0.056443;
1292;1292;0.444265;0.050690;0.039179;0.052806;
1293;1293;0.443996;0.059393;0.049621;0.036827;
1294;1294;0.475864;0.059317;0.040072;0.045807;
1295;1295;0.447020;0.049190;0.039293;0.050538;
1296;1296;0.448493;0.051756;0.051043;0.046034;
1297;1297;0.446784;0.051263;0.046163;0.038691;
1298;1298;0.447302;0.058428;0.039471;0.049072;
1299;1299;0.447465;0.050311;0.040241;0.036306;
1300;1300;0.454105;0.048376;0.059431;0.048284;
1301;1301;0.448194;0.049535;0.039789;0.057396;
1302;1302;0.447356;0.060678;0.039541;0.058069;
1303;1303;0.451336;0.047744;0.040206;0.037980;
1304;1304;0.452119;0.052940;0.041123;0.050106;
1305;1305;0.454930;0.056521;0.042816;0.037875;
1306;1306;0.452243;0.059810;0.041203;0.039680;
1307;1307;0.490670;0.050367;0.050360;0.054416;
1308;1308;0.468890;0.058257;0.049920;0.057451;
1309;1309;0.454005;0.060336;0.053407;0.053291;
1310;1310;0.455580;0.051676;0.040400;0.047338;
1311;1311;0.456310;0.064929;0.040318;0.054863;
1312;1312;0.458215;0.050720;0.046746;0.047646;
1313;1313;0.460830;0.052331;0.054272;0.051718;
1314;1314;0.454275;0.061502;0.040893;0.038501;
1315;1315;0.451231;0.059137;0.046991;0.058414;
1316;1316;0.458748;0.056641;0.041154;0.054806;
1317;1317;0.463918;0.053675;0.048799;0.054610;
1318;1318;0.458060;0.065913;0.044842;0.061746;
1319;1319;0.463590;0.059922;0.053918;0.036111;
1320;1320;0.466275;0.050323;0.040863;0.051532;
1321;1321;0.452852;0.050288;0.041656;0.059365;
1322;1322;0.453164;0.054440;0.041275;0.038986;
1323;1323;0.455813;0.059469;0.042621;0.048000;
1324;1324;0.463843;0.058115;0.046557;0.058973;
1325;1325;0.463040;0.054433;0.045922;0.047024;
1326;1326;0.468394;0.051631;0.047847;0.040174;
1327;1327;0.458060;0.055292;0.044326;0.051036;
1328;1328;0.460990;0.054187;0.043908;0.048361;
1329;1329;0.463586;0.051693;0.041984;0.051835;
1330;1330;0.462323;0.063058;0.042713;0.053647;
1331;1331;0.460034;0.053857;0.051346;0.048108;
1332;1332;0.464598;0.064468;0.046518;0.052941;
1333;1333;0.462963;0.051070;0.042334;0.039824;
1334;1334;0.463017;0.056443;0.043946;0.049013;
1335;1335;0.467064;0.054984;0.042650;0.055076;
1336;1336;0.461426;0.060842;0.051997;0.052407;
1337;1337;0.460854;0.063391;0.042287;0.049583;
1338;1338;0.461307;0.054950;0.042435;0.052486;
1339;1339;0.463068;0.058217;0.046361;0.059185;
1340;1340;0.499592;0.056679;0.042372;0.062544;
1341;1341;0.464448;0.056472;0.051204;0.055123;
1342;1342;0.464787;0.053659;0.042336;0.052147;
1343;1343;0.461614;0.054591;0.042244;0.053803;
1344;1344;0.462244;0.059383;0.047022;0.058794;
1345;1345;0.466882;0.054528;0.042263;0.050565;
1346;1346;0.472206;0.060912;0.042745;0.054969;
1347;1347;0.508736;0.055590;0.043204;0.060873;
1348;1348;0.477356;0.057153;0.043033;0.055012;
1349;1349;0.468897;0.055172;0.046221;0.047662;
1350;1350;0.474877;0.061191;0.063138;0.062703;
