Nodes;Edges;Sequential Time;OMP 2 THREADS;OMP 3 THREADS;OMP 4 THREADS;
100;2475;0.004651;0.003168;0.002924;0.002815;
120;3570;0.006625;0.004653;0.004444;0.003899;
140;4865;0.011743;0.007402;0.006347;0.005694;
160;6360;0.020142;0.011825;0.009767;0.008804;
180;8055;0.031210;0.017640;0.013833;0.013844;
200;9950;0.043433;0.022800;0.019327;0.016675;
220;12045;0.059787;0.031356;0.025696;0.021924;
240;14340;0.077223;0.041115;0.033158;0.030871;
260;16835;0.099963;0.055435;0.041467;0.035152;
280;19530;0.125503;0.067479;0.049991;0.043173;
300;22425;0.160808;0.084735;0.062163;0.051995;
320;25520;0.188950;0.103868;0.076780;0.062101;
340;28815;0.231943;0.120861;0.088806;0.074580;
360;32310;0.281351;0.144434;0.106970;0.086305;
380;36005;0.328284;0.173626;0.123460;0.100230;
400;39900;0.384231;0.202357;0.144610;0.115577;
420;43995;0.462449;0.240519;0.167233;0.133084;
440;48290;0.517359;0.272556;0.191258;0.154334;
460;52785;0.614770;0.312133;0.220185;0.182633;
480;57480;0.763270;0.359384;0.250613;0.196069;
500;62375;0.894783;0.442591;0.290339;0.236852;
520;67470;1.035201;0.485303;0.319344;0.292851;
540;72765;1.236996;0.622800;0.419615;0.320296;
560;78260;1.432465;0.726934;0.499742;0.383471;
580;83955;1.740837;0.853967;0.597896;0.457640;
600;89850;2.225845;1.051394;0.702397;0.534271;
620;95945;2.567414;1.236947;0.850214;0.611834;
640;102240;3.162107;1.486211;0.985038;0.740388;
660;108735;3.825940;1.714402;1.159313;0.868536;
680;115430;4.442902;1.979850;1.355980;1.017844;
700;122325;5.362121;2.375677;1.558531;1.178236;
720;129420;6.467669;2.705701;1.769982;1.352787;
740;136715;7.731406;3.077117;2.010048;1.520657;
760;144210;8.774600;3.461953;2.320748;1.728462;
780;151905;10.224227;3.938701;2.607149;1.943642;
800;159800;11.476798;4.385322;2.944323;2.167482;
820;167895;12.608919;4.886095;3.239427;2.423065;
840;176190;14.127265;5.430443;3.625372;2.668068;
860;184685;15.725269;5.884039;3.951313;2.931840;
880;193380;17.356014;6.562623;4.352619;3.257433;
900;202275;19.139317;7.090047;4.802249;3.570323;
920;211370;20.721656;7.759915;5.173222;3.850159;
940;220665;22.239986;8.426362;5.660126;4.195810;
960;230160;24.268646;9.056742;6.082424;4.553859;
980;239855;26.193899;9.877638;6.579003;4.882359;
1000;249750;28.856958;10.700284;7.055048;5.311675;
