Nodes;Edges;Sequential Time;OMP 2 THREADS;OMP 3 THREADS;OMP 4 THREADS;
5000;5000;0.210632;0.164226;0.136628;0.121655;
5100;5100;0.219835;0.173926;0.141124;0.127476;
5200;5200;0.226511;0.176876;0.144465;0.129138;
5300;5300;0.237691;0.185305;0.149006;0.135180;
5400;5400;0.249260;0.198753;0.155501;0.138187;
5500;5500;0.260012;0.196363;0.159373;0.143838;
5600;5600;0.269584;0.199894;0.163743;0.146403;
5700;5700;0.278075;0.208615;0.167008;0.149709;
5800;5800;0.285042;0.214471;0.171528;0.154430;
5900;5900;0.298129;0.224298;0.175824;0.157076;
6000;6000;0.310292;0.224805;0.181456;0.161309;
6100;6100;0.323420;0.246339;0.199002;0.178521;
6200;6200;0.334114;0.252259;0.205140;0.184587;
6300;6300;0.347344;0.264137;0.210534;0.185740;
6400;6400;0.359626;0.263906;0.217425;0.197514;
6500;6500;0.376363;0.275162;0.219777;0.193733;
6600;6600;0.380049;0.283482;0.225871;0.199004;
6700;6700;0.394458;0.288059;0.230918;0.202824;
6800;6800;0.400778;0.294296;0.237567;0.205627;
6900;6900;0.417862;0.302587;0.240771;0.213653;
7000;7000;0.437044;0.314284;0.248059;0.219802;
7100;7100;0.439826;0.326734;0.265661;0.237027;
7200;7200;0.458053;0.340950;0.283894;0.241675;
7300;7300;0.472655;0.347752;0.278000;0.245996;
7400;7400;0.485863;0.353355;0.283593;0.251421;
7500;7500;0.498322;0.367427;0.293788;0.256473;
7600;7600;0.514018;0.376013;0.297783;0.261701;
7700;7700;0.528394;0.376151;0.306431;0.274123;
7800;7800;0.544033;0.382977;0.309131;0.270849;
7900;7900;0.549271;0.396906;0.315041;0.273757;
8000;8000;0.567808;0.409153;0.324755;0.282676;
8100;8100;0.581840;0.424862;0.357949;0.319646;
8200;8200;0.607074;0.459720;0.369162;0.326086;
8300;8300;0.619573;0.471913;0.376954;0.316984;
8400;8400;0.633803;0.460835;0.366791;0.319201;
8500;8500;0.652456;0.473356;0.388611;0.326288;
8600;8600;0.655013;0.471700;0.381101;0.348648;
8700;8700;0.683739;0.495640;0.404754;0.355113;
8800;8800;0.701279;0.513937;0.398261;0.346360;
8900;8900;0.710656;0.527939;0.421269;0.369977;
9000;9000;0.739095;0.556376;0.442165;0.373199;
9100;9100;0.742900;0.544767;0.428055;0.392128;
9200;9200;0.759672;0.555964;0.461251;0.383035;
9300;9300;0.783537;0.582315;0.462880;0.392228;
9400;9400;0.807221;0.613754;0.537393;0.484832;
9500;9500;0.813313;0.587135;0.478425;0.420185;
9600;9600;0.827223;0.654952;0.544626;0.518840;
9700;9700;0.859311;0.613491;0.501408;0.434324;
9800;9800;0.868982;0.625854;0.506368;0.444438;
9900;9900;0.905896;0.681499;0.576717;0.523640;
10000;10000;0.919435;0.649346;0.524512;0.459933;
10100;10100;0.932611;0.724179;0.611944;0.558587;
10200;10200;0.964105;0.691886;0.544215;0.557829;
10300;10300;0.978255;0.746472;0.633723;0.578720;
10400;10400;0.990334;0.709577;0.558611;0.492344;
10500;10500;0.999779;0.716785;0.561995;0.494348;
10600;10600;1.046410;0.742152;0.620123;0.553752;
10700;10700;1.079897;0.749906;0.622128;0.563085;
10800;10800;1.109011;0.768890;0.646407;0.628528;
10900;10900;1.087159;0.771859;0.627790;0.593507;
11000;11000;1.136514;0.841201;0.713173;0.648349;
11100;11100;1.142196;0.823571;0.737671;0.671879;
11200;11200;1.164312;0.832639;0.650753;0.688483;
11300;11300;1.190567;0.828134;0.769901;0.702589;
11400;11400;1.200676;0.911472;0.771632;0.702651;
11500;11500;1.234522;0.859332;0.685264;0.589894;
11600;11600;1.254022;0.940490;0.797379;0.728148;
11700;11700;1.263354;0.951801;0.805712;0.734649;
11800;11800;1.294579;0.909966;0.819713;0.880521;
11900;11900;1.333127;0.924392;0.841898;0.896865;
12000;12000;1.357923;0.937064;0.744053;0.775087;
12100;12100;1.366783;1.011687;0.884899;0.803518;
12200;12200;1.398719;0.992386;0.772359;0.675218;
12300;12300;1.407100;1.068396;0.902546;0.820853;
12400;12400;1.446674;1.043207;0.931112;0.837823;
12500;12500;1.465178;1.035912;0.815151;0.704122;
12600;12600;1.473087;1.118785;1.072197;0.830472;
12700;12700;1.498951;1.132600;0.955014;0.869413;
12800;12800;1.527943;1.117586;0.969588;0.881895;
12900;12900;1.564206;1.165493;0.987996;0.897309;
13000;13000;1.577058;1.178399;0.996123;0.902372;
13100;13100;1.594074;1.124893;0.890017;0.937378;
13200;13200;1.712160;1.223755;1.039709;0.951128;
13300;13300;1.639467;1.242023;1.050409;0.958580;
13400;13400;1.688247;1.310918;1.152537;0.833798;
13500;13500;1.697396;1.364050;1.113113;0.983942;
13600;13600;1.736564;1.292419;1.095401;0.996592;
13700;13700;1.769174;1.374113;1.186634;0.839354;
13800;13800;1.793403;1.336877;1.123137;1.031383;
13900;13900;1.815173;1.251791;1.019702;1.035064;
14000;14000;1.850519;1.363310;1.153503;1.054154;
14100;14100;1.864730;1.478810;1.231746;1.084719;
14200;14200;1.884602;1.481647;1.260857;1.100756;
14300;14300;1.933881;1.511423;1.286576;1.114965;
14400;14400;1.957976;1.463294;1.235660;1.124866;
14500;14500;1.989702;1.592966;1.268588;0.938287;
14600;14600;2.003031;2.380804;2.421142;0.949687;
14700;14700;2.021339;2.509610;2.357854;0.955045;
14800;14800;2.078042;1.434985;1.120751;1.232570;
14900;14900;2.150498;1.576501;1.320485;1.196084;
15000;15000;2.179459;1.593299;1.331364;1.122000;
15100;15100;2.159453;2.272101;2.757467;1.012616;
15200;15200;2.190282;2.765382;2.250119;1.031252;
15300;15300;2.190956;1.535342;1.321957;1.273812;
15400;15400;2.259477;1.687561;1.423998;1.287570;
15500;15500;2.286548;1.715870;1.430974;1.302644;
15600;15600;2.299123;2.216682;2.985565;1.104703;
15700;15700;2.320471;1.712583;1.451517;1.314602;
15800;15800;2.341646;2.447957;2.937666;1.098433;
15900;15900;2.410278;3.693131;1.513489;1.114020;
16000;16000;2.436527;1.801937;1.502226;1.372211;
16100;16100;2.477312;1.822488;1.528638;1.396709;
16200;16200;2.480232;1.875377;1.576309;1.431292;
16300;16300;2.501154;1.889726;1.589720;1.442858;
16400;16400;2.553785;1.915153;1.603762;1.489536;
16500;16500;2.563000;3.142458;2.348085;1.219933;
