Nodes;Edges;Sequential Time;Parallel Time;
500;62375;1.776339;0.976521;
510;64897;1.526029;0.833758;
520;67470;1.621401;0.906042;
530;70092;1.773497;0.957372;
540;72765;1.958884;1.041814;
550;75487;2.169428;1.095861;
560;78260;2.246003;1.185481;
570;81082;2.540029;1.250792;
580;83955;2.724676;1.326236;
590;86877;2.887693;1.414216;
600;89850;3.303967;1.479948;
610;92872;3.644417;1.531274;
620;95945;3.996226;1.625380;
630;99067;4.157484;1.700652;
640;102240;4.555350;1.854273;
650;105462;4.831303;1.936220;
660;108735;5.299894;2.055462;
670;112057;5.689090;2.149569;
680;115430;6.066891;2.276934;
690;118852;6.617740;2.440021;
700;122325;6.864710;2.538941;
710;125847;7.249976;2.640888;
720;129420;7.974163;2.727529;
730;133042;8.728738;2.870748;
740;136715;9.170360;2.963987;
750;140437;9.846209;3.165513;
760;144210;10.459248;3.227808;
770;148032;10.986208;2.982781;
780;151905;11.651636;3.631561;
790;155827;12.165122;3.702414;
800;159800;13.144622;3.970003;
