Nodes;Edges;Sequential Time;Parallel Time;
5000;5000;0.395508;0.560098;
5010;5010;0.412396;0.614346;
5020;5020;0.425547;0.565328;
5030;5030;0.399873;0.594828;
5040;5040;0.431644;0.583346;
5050;5050;0.404218;0.562054;
5060;5060;0.393053;0.563748;
5070;5070;0.397989;0.570605;
5080;5080;0.398907;0.573686;
5090;5090;0.398589;0.569024;
5100;5100;0.396818;0.573586;
5110;5110;0.400743;0.577001;
5120;5120;0.411245;0.575835;
5130;5130;0.414258;0.583925;
5140;5140;0.403293;0.582064;
5150;5150;0.411724;0.585908;
5160;5160;0.409129;0.586253;
5170;5170;0.410465;0.637751;
5180;5180;0.423533;0.637184;
5190;5190;0.428048;0.592250;
5200;5200;0.413729;0.591923;
5210;5210;0.423883;0.594309;
5220;5220;0.423149;0.601804;
5230;5230;0.423602;0.598251;
5240;5240;0.435985;0.646928;
5250;5250;0.460612;0.654368;
5260;5260;0.437234;0.651825;
5270;5270;0.433475;0.641641;
5280;5280;0.433951;0.608631;
5290;5290;0.446660;0.654133;
5300;5300;0.440231;0.661435;
5310;5310;0.446391;0.668875;
5320;5320;0.434321;0.611366;
5330;5330;0.437743;0.617930;
5340;5340;0.449074;0.617216;
5350;5350;0.441870;0.619413;
5360;5360;0.442820;0.629100;
5370;5370;0.452931;0.676074;
5380;5380;0.469678;0.629076;
5390;5390;0.449000;0.674136;
5400;5400;0.470092;0.678338;
5410;5410;0.460371;0.716708;
5420;5420;0.469480;0.634817;
5430;5430;0.463415;0.688621;
5440;5440;0.470610;0.690101;
5450;5450;0.467009;0.698163;
5460;5460;0.475057;0.688634;
5470;5470;0.478456;0.686806;
5480;5480;0.488068;0.690237;
5490;5490;0.482831;0.696836;
5500;5500;0.498692;0.693740;
5510;5510;0.486691;0.692520;
5520;5520;0.490793;0.651084;
5530;5530;0.493617;0.708403;
5540;5540;0.489994;0.707970;
5550;5550;0.500999;0.654548;
5560;5560;0.499377;0.707601;
5570;5570;0.514856;0.716941;
5580;5580;0.488776;0.741663;
5590;5590;0.493587;0.715619;
5600;5600;0.512156;0.718782;
5610;5610;0.513133;0.733069;
5620;5620;0.505640;0.705100;
5630;5630;0.517050;0.703764;
5640;5640;0.525075;0.672034;
5650;5650;0.512425;0.706343;
5660;5660;0.523534;0.712982;
5670;5670;0.521187;0.676100;
5680;5680;0.515646;0.712970;
5690;5690;0.534951;0.716294;
5700;5700;0.523085;0.721504;
5710;5710;0.533661;0.725825;
5720;5720;0.540333;0.722679;
5730;5730;0.545687;0.732258;
5740;5740;0.542956;0.725200;
5750;5750;0.538373;0.726794;
5760;5760;0.551112;0.728624;
5770;5770;0.543899;0.745400;
5780;5780;0.542595;0.736532;
5790;5790;0.554303;0.737230;
5800;5800;0.549459;0.738996;
5810;5810;0.565809;0.737682;
5820;5820;0.546673;0.741349;
5830;5830;0.571675;0.743125;
5840;5840;0.549660;0.753000;
5850;5850;0.542448;0.751695;
5860;5860;0.571851;0.746877;
5870;5870;0.545780;0.759831;
5880;5880;0.551908;0.746328;
5890;5890;0.572968;0.753969;
5900;5900;0.564657;0.751531;
5910;5910;0.575566;0.761989;
5920;5920;0.576663;0.774578;
5930;5930;0.563657;0.759954;
5940;5940;0.557892;0.764011;
5950;5950;0.581277;0.773440;
5960;5960;0.604652;0.769443;
5970;5970;0.594949;0.770854;
5980;5980;0.593356;0.772688;
5990;5990;0.593611;0.769862;
6000;6000;0.583022;0.772953;
6010;6010;0.589189;0.777678;
6020;6020;0.618827;0.781221;
6030;6030;0.620284;0.781409;
6040;6040;0.656373;0.836909;
6050;6050;0.610803;0.753506;
6060;6060;0.585288;0.781936;
6070;6070;0.624566;0.787046;
6080;6080;0.696470;0.933731;
6090;6090;0.645258;0.793004;
6100;6100;0.602934;0.796070;
6110;6110;0.714562;0.830259;
6120;6120;0.609855;0.768730;
6130;6130;0.629090;0.801404;
6140;6140;0.641816;0.798616;
6150;6150;0.640939;0.808518;
6160;6160;1.296134;1.420778;
6170;6170;1.457297;1.428145;
6180;6180;1.455141;1.428417;
6190;6190;1.475605;1.442220;
6200;6200;1.471813;1.443147;
6210;6210;1.470813;1.433818;
6220;6220;1.475642;1.458283;
6230;6230;1.510838;1.439088;
6240;6240;1.492947;1.450353;
6250;6250;1.504416;1.458882;
6260;6260;1.504505;1.459914;
6270;6270;1.497721;1.468738;
6280;6280;1.507007;1.463831;
6290;6290;1.536102;1.470429;
6300;6300;1.524213;1.485047;
6310;6310;1.536305;1.488335;
6320;6320;1.527709;1.480719;
6330;6330;1.546455;1.493077;
6340;6340;1.557226;1.492212;
6350;6350;1.393577;0.777669;
6360;6360;0.634698;0.793025;
6370;6370;0.657168;0.786312;
6380;6380;0.657991;0.849431;
6390;6390;0.662749;0.841434;
6400;6400;0.681894;0.846337;
6410;6410;0.755614;0.856632;
6420;6420;0.687263;0.807139;
6430;6430;0.671347;0.806791;
6440;6440;0.682295;0.852197;
6450;6450;0.695477;0.861863;
6460;6460;0.675753;0.859747;
6470;6470;0.696807;0.860727;
6480;6480;0.702782;0.862081;
6490;6490;0.680103;0.868864;
6500;6500;0.697390;0.865797;
6510;6510;0.722841;0.880500;
6520;6520;0.717826;0.877736;
6530;6530;0.691918;0.875032;
